congestion_distance,speed,status,congestion_trend,section_desc,name,time
240,11.9,3,加重,"西向东,博爱南路附近",文明中路,2023-03-22 14:17:22
430,8.04,3,加重,"西向东,从文联路到文明天桥",文明中路,2023-03-22 14:37:32
120,12.7,3,加重,"北向南,文明天桥附近",和平北路,2023-03-22 14:57:43
170,12.7,3,加重,"北向南,文明天桥附近",和平北路,2023-03-22 14:57:43
210,13.6,2,加重,"南向北,从建山里到文明天桥",和平南路,2023-03-22 14:57:43
100,3.36,4,加重,"西向东,文明天桥附近",文明中路,2023-03-22 14:57:44
100,10.6,2,缓解,"西向东,文明天桥附近",文明中路,2023-03-22 15:17:54
170,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-22 16:58:45
120,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-22 16:58:45
240,13.23,3,加重,"西向东,博爱南路附近",文明中路,2023-03-22 16:58:46
100,3.36,4,加重,"西向东,文明天桥附近",文明中路,2023-03-22 17:18:56
360,7.45,4,加重,"北向南,从和平天桥到海府路",和平南路,2023-03-22 17:59:18
270,15.63,2,持平,"南向北,从和平南横巷到建山里",和平南路,2023-03-22 17:59:18
410,6.52,4,持平,"东向西,从东风桥到文明天桥",文明东路,2023-03-22 18:19:30
240,10.01,4,加重,"东向西,从东风桥到文明天桥",文明东路,2023-03-22 18:19:30
240,12.36,3,缓解,"西向东,博爱南路附近",文明中路,2023-03-22 18:19:30
170,13.6,3,缓解,"北向南,文明天桥附近",和平北路,2023-03-22 18:39:42
120,13.6,3,缓解,"北向南,文明天桥附近",和平北路,2023-03-22 18:39:42
290,13.6,3,缓解,"东向西,从东风桥到文明天桥",文明东路,2023-03-22 18:39:42
250,19.07,2,缓解,"东向西,美兰区板桥路附近",文明东路,2023-03-22 18:39:42
120,13.6,3,缓解,"北向南,文明天桥附近",和平北路,2023-03-22 18:59:52
170,13.6,3,缓解,"北向南,文明天桥附近",和平北路,2023-03-22 18:59:52
250,5.36,4,加重,"东向西,美兰区板桥路附近",文明东路,2023-03-22 18:59:53
230,12.56,3,持平,"东向西,从东风桥到文明天桥",文明东路,2023-03-22 18:59:53
240,14.08,3,加重,"西向东,博爱南路附近",文明中路,2023-03-22 18:59:53
170,13.35,3,缓解,"东向西,文明天桥附近",文明东路,2023-03-22 19:20:05
240,14.38,3,缓解,"西向东,博爱南路附近",文明中路,2023-03-22 19:20:05
210,12.94,2,加重,"南向北,从建山里到文明天桥",和平南路,2023-03-22 19:40:15
210,14.02,2,持平,"南向北,从建山里到文明天桥",和平南路,2023-03-22 20:00:24
240,13.36,3,加重,"西向东,博爱南路附近",文明中路,2023-03-22 20:20:35
270,13.6,2,加重,"北向南,从南联路到和平天桥",和平南路,2023-03-22 23:21:48
