status,temperature,latitude,longitude,is_weekend,hour
1.042422,23,39.919614,116.451179,0,21.06819
1.5575696,23,39.919614,116.451179,0,17.8358
1.3664299,23,39.919614,116.451179,1,13.25941
1.1711373,23,39.919614,116.451179,0,10.23316
1.0115533,23,39.919614,116.451179,1,2.88017
1.0054566,23,39.919614,116.451179,1,0.89768
1.0749133,23,39.919614,116.451179,0,7.52999
1.1508482,23,39.919614,116.451179,0,9.21762
1.4119351,23,39.919614,116.451179,1,14.28466
1.0438536,23,39.919614,116.451179,0,6.77712
1.0111243,23,39.919614,116.451179,0,21.9568
1.3856448,23,39.919614,116.451179,1,13.5613
1.1906153,23,39.919614,116.451179,0,15.05372
1.1557282,23,39.919614,116.451179,0,12.79969
1.0053599,23,39.919614,116.451179,1,-0.0058
1.1288508,23,39.919614,116.451179,1,20.65212
1.0059603,23,39.919614,116.451179,1,0.7354499999999999
1.3728368,23,39.919614,116.451179,0,16.56864
1.0019456,23,39.919614,116.451179,0,-1.70734
1.0777644,23,39.919614,116.451179,1,21.47555
1.1554286,23,39.919614,116.451179,0,12.72066
1.1589375,23,39.919614,116.451179,0,11.64931
1.1697187,23,39.919614,116.451179,0,10.48919
1.2057863,23,39.919614,116.451179,0,15.49695
1.1833237,23,39.919614,116.451179,0,14.8223
1.0929234,23,39.919614,116.451179,0,19.97736
1.0047582,23,39.919614,116.451179,1,1.82781
1.01841,23,39.919614,116.451179,1,3.69147
1.466178,23,39.919614,116.451179,0,18.26446
1.0877962,23,39.919614,116.451179,1,6.71219
1.1638321,23,39.919614,116.451179,0,11.24402
1.4406701,23,39.919614,116.451179,1,15.07176
1.1778476,23,39.919614,116.451179,0,9.78575
1.1731788,23,39.919614,116.451179,0,14.22222
1.1585891,23,39.919614,116.451179,0,19.37297
1.3949413,23,39.919614,116.451179,0,16.64043
1.1565852,23,39.919614,116.451179,0,12.91012
1.1557324,23,39.919614,116.451179,0,12.80022
1.2709267,23,39.919614,116.451179,1,19.04906
0.9986831,23,39.919614,116.451179,0,1.60087
1.0243608,23,39.919614,116.451179,1,4.20725
1.0906551,23,39.919614,116.451179,1,6.7722
1.0529059,23,39.919614,116.451179,0,20.81354
1.1540976,23,39.919614,116.451179,0,12.38735
1.008273,23,39.919614,116.451179,1,-0.53087
1.1785706,23,39.919614,116.451179,0,14.6369
1.1550027,23,39.919614,116.451179,0,12.58681
0.9809675,23,39.919614,116.451179,0,23.59589
