status,temperature,is_weekend,hour
1.06897,9.0,0,11
1.0,10.0,0,11
1.0,11.0,0,11
1.08333,11.0,0,11
1.21053,11.0,0,11
1.0,25.0,0,11
1.3125,10.0,0,11
1.5,25.0,0,11
1.06667,10.0,0,11
1.14286,9.0,0,11
1.0,9.0,0,11
1.0,25.0,0,11
1.11765,10.0,0,11
1.06897,9.0,0,11
1.47619,11.0,0,11
1.0,11.0,0,11
1.08333,11.0,0,11
1.27273,11.0,0,11
1.0,11.0,0,11
1.06667,11.0,0,11
1.90909,27.0,0,11
1.11765,11.0,0,11
1.0,27.0,0,11
1.0,11.0,0,11
1.03571,11.0,0,11
1.09524,27.0,0,11
1.0,27.0,0,11
1.44444,12.0,0,12
1.0,12.0,0,12
1.0,12.0,0,12
1.06667,11.0,0,12
1.1,12.0,0,12
1.05882,11.0,0,12
1.1,11.0,0,12
1.0,11.0,0,12
1.0,27.0,0,12
1.05556,11.0,0,12
1.63636,27.0,0,12
1.1,11.0,0,12
1.0,11.0,0,12
1.04762,27.0,0,12
1.17647,11.0,0,12
1.0,11.0,0,12
1.0,12.0,0,12
1.47619,12.0,0,12
1.04167,12.0,0,12
1.4375,11.0,0,12
1.0,11.0,0,12
1.0,11.0,0,12
1.13793,11.0,0,12
1.3,27.0,0,12
1.0,27.0,0,12
1.1,27.0,0,12
1.04167,14.0,0,12
1.0,14.0,0,12
1.03448,12.0,0,12
1.11765,12.0,0,12
1.47619,14.0,0,12
1.41667,29.0,0,12
1.25,12.0,0,12
1.0,12.0,0,12
1.0,12.0,0,12
1.0,29.0,0,12
1.09524,12.0,0,12
1.0,29.0,0,12
1.03448,12.0,0,12
1.0,14.0,0,13
1.5,14.0,0,13
1.0,14.0,0,13
1.13333,12.0,0,13
1.31818,12.0,0,13
1.0,29.0,0,13
1.13793,12.0,0,13
1.0,12.0,0,13
1.13333,12.0,0,13
1.11765,12.0,0,13
1.0,29.0,0,13
1.0,29.0,0,13
1.08,14.0,0,13
1.35,14.0,0,13
1.0,14.0,0,13
1.0,12.0,0,13
1.0,29.0,0,13
1.0,29.0,0,13
1.13333,12.0,0,13
1.0,12.0,0,13
1.04762,29.0,0,13
1.05882,12.0,0,13
1.06897,12.0,0,13
1.0,12.0,0,13
1.0,12.0,0,13
1.0,15.0,0,13
1.21053,15.0,0,13
1.125,15.0,0,13
1.0,29.0,0,13
1.06667,14.0,0,13
1.3125,14.0,0,13
1.17647,14.0,0,13
1.0,29.0,0,13
1.0,14.0,0,13
1.10345,14.0,0,13
1.40909,14.0,0,13
1.0,29.0,0,13
1.13043,15.0,0,14
1.23333,14.0,0,14
1.13333,14.0,0,14
1.0,15.0,0,14
1.16667,14.0,0,14
1.0,15.0,0,14
1.21053,15.0,0,14
1.0,29.0,0,14
1.0,29.0,0,14
1.0,29.0,0,14
1.56522,14.0,0,14
1.16667,14.0,0,14
1.1,14.0,0,14
1.20833,15.0,0,14
1.0,14.0,0,14
1.0,15.0,0,14
1.1,14.0,0,14
1.33333,15.0,0,14
1.0,14.0,0,14
1.0,14.0,0,14
1.09524,14.0,0,14
1.3125,14.0,0,14
1.14286,29.0,0,14
1.45455,29.0,0,14
1.04762,29.0,0,14
1.3,16.0,0,14
1.125,16.0,0,14
1.0,16.0,0,14
1.61538,30.0,0,14
1.28571,14.0,0,14
1.11765,17.0,0,14
1.0,14.0,0,14
1.1,17.0,0,14
1.03571,14.0,0,14
1.09524,30.0,0,14
1.26667,17.0,0,14
1.04762,30.0,0,14
1.04167,16.0,0,15
1.3,16.0,0,15
1.0,16.0,0,15
1.08333,14.0,0,15
1.05882,17.0,0,15
1.04762,30.0,0,15
1.13333,17.0,0,15
1.04762,30.0,0,15
1.75,30.0,0,15
1.13333,17.0,0,15
1.15,14.0,0,15
1.0,14.0,0,15
1.0,14.0,0,15
1.42857,16.0,0,15
1.0,16.0,0,15
1.20833,16.0,0,15
1.36364,30.0,0,15
1.21739,30.0,0,15
1.23529,17.0,0,15
1.13333,17.0,0,15
1.13333,17.0,0,15
1.05,30.0,0,15
1.05,14.0,0,15
1.10345,14.0,0,15
1.0,14.0,0,15
1.125,16.0,0,15
1.0,16.0,0,15
1.52381,16.0,0,15
1.1,18.0,0,15
1.13333,18.0,0,15
1.0,30.0,0,15
1.0,30.0,0,15
1.35294,18.0,0,15
1.41667,30.0,0,15
1.07143,15.0,0,15
1.0,15.0,0,15
1.03448,15.0,0,15
1.0,30.0,0,15
1.0,16.0,0,16
1.0,16.0,0,16
1.05556,16.0,0,16
1.75,18.0,0,16
1.11765,18.0,0,16
1.0,16.0,0,16
1.06667,18.0,0,16
1.0,15.0,0,16
1.09091,18.0,0,16
1.45455,30.0,0,16
1.0,30.0,0,16
1.06897,15.0,0,16
1.0,30.0,0,16
1.18182,15.0,0,16
1.31579,16.0,0,16
1.20833,16.0,0,16
1.375,16.0,0,16
1.1,15.0,0,16
1.0,30.0,0,16
1.0,18.0,0,16
1.29032,18.0,0,16
1.31818,15.0,0,16
1.11111,30.0,0,16
1.0,15.0,0,16
1.375,18.0,0,16
1.2381,30.0,0,16
1.0,15.0,0,16
1.0,16.0,0,16
1.0,16.0,0,16
1.61905,16.0,0,16
1.03333,20.0,0,16
1.11111,20.0,0,16
1.1,30.0,0,16
1.45455,30.0,0,16
1.80769,30.0,0,16
1.4375,20.0,0,16
1.11111,14.0,0,16
1.22581,14.0,0,16
1.125,16.0,0,17
1.59091,16.0,0,17
1.0,16.0,0,17
1.5625,20.0,0,17
1.1,30.0,0,17
1.25806,20.0,0,17
1.1,30.0,0,17
2.09375,30.0,0,17
1.29412,20.0,0,17
1.63158,16.0,0,17
2.22222,16.0,0,17
1.29167,16.0,0,17
1.5625,20.0,0,17
1.76471,20.0,0,17
1.5,30.0,0,17
1.92593,30.0,0,17
1.54545,30.0,0,17
1.22581,20.0,0,17
1.63158,16.0,0,17
1.375,16.0,0,17
1.55556,16.0,0,17
1.64706,21.0,0,17
2.0,29.0,0,17
1.35714,21.0,0,17
1.66667,21.0,0,17
1.5,29.0,0,17
2.63636,29.0,0,17
2.44444,29.0,0,17
1.25,21.0,0,17
2.0,16.0,0,18
1.77273,16.0,0,18
1.45455,16.0,0,18
1.55556,16.0,0,18
1.88889,21.0,0,18
1.52632,21.0,0,18
1.27273,29.0,0,18
2.14286,29.0,0,18
2.17143,29.0,0,18
1.43333,21.0,0,18
1.375,16.0,0,18
2.0,16.0,0,18
1.65,16.0,0,18
1.46667,21.0,0,18
1.61111,21.0,0,18
2.52941,29.0,0,18
2.06061,29.0,0,18
1.56,29.0,0,18
1.2,21.0,0,18
1.66667,14.0,0,18
1.16667,14.0,0,18
1.66667,14.0,0,18
1.69231,28.0,0,18
1.47059,15.0,0,18
1.375,28.0,0,18
2.0,28.0,0,18
1.16667,15.0,0,18
1.26667,15.0,0,18
1.08333,14.0,0,19
1.44444,14.0,0,19
1.52632,14.0,0,19
1.1,15.0,0,19
1.05882,15.0,0,19
1.46154,28.0,0,19
1.29167,28.0,0,19
1.13333,15.0,0,19
2.06667,28.0,0,19
1.0,14.0,0,19
1.31579,14.0,0,19
1.125,14.0,0,19
1.25,28.0,0,19
1.0,28.0,0,19
1.0,15.0,0,19
1.22222,15.0,0,19
1.48,28.0,0,19
1.28571,28.0,0,19
1.1875,15.0,0,19
1.0,15.0,0,19
1.55556,13.0,0,19
1.0,13.0,0,19
1.0,13.0,0,19
1.45455,13.0,0,19
1.0,26.0,0,19
1.17647,12.0,0,19
1.0,12.0,0,19
1.0,12.0,0,19
1.16667,13.0,0,20
1.0,13.0,0,20
1.0,13.0,0,20
1.0,12.0,0,20
1.11765,12.0,0,20
1.13333,12.0,0,20
1.04167,13.0,0,20
1.35,13.0,0,20
1.0,13.0,0,20
1.03333,12.0,0,20
1.13333,12.0,0,20
1.17647,12.0,0,20
1.0,11.0,0,20
1.10526,11.0,0,20
1.0,11.0,0,20
1.06667,10.0,0,20
1.0,10.0,0,20
1.05556,10.0,0,20
1.04,11.0,0,21
1.05556,11.0,0,21
